Date,Rot,VH,Team,1st,2nd,Final,Open,Close,ML,2H
1109,711,V,FloridaIntl,30,42,72,146,150.5,10000,79
1109,712,H,NorthCarolina,46,42,88,30,30.5,-30000,14.5
1109,713,V,MurrayState,26,44,70,132,139.5,700,73
1109,714,H,California,34,41,75,13,13.5,-1100,6
1109,715,V,AlcornState,28,32,60,NL,NL,16000,NL
1109,716,H,OhioState,56,44,100,34,39,-48000,15
1109,717,V,AlbanyNY,20,23,43,NL,NL,1500,NL
1109,718,H,Syracuse,38,37,75,24,20,-3000,7
1111,727,V,DetroitU,32,29,61,142,140.5,1350,73.5
1111,728,H,California,40,55,95,18,17,-2300,8.5
1111,729,V,NCCentral,20,22,42,NL,NL,55000,NL
1111,730,H,NorthCarolina,51,38,89,46,43.5,-165000,16.5
1111,731,V,RobertMorris,32,28,60,NL,NL,1315,NL
1111,732,H,Syracuse,55,45,100,18,18.5,-2200,6
1112,505,V,JamesMadison,25,19,44,149,140.5,1500,72.5
1112,506,H,OhioState,34,38,72,16.5,19,-2600,8.5
1112,507,V,GeorgiaState,29,24,53,137.5,135,450,71
1112,508,H,NCState,32,37,69,10,10.5,-600,5.5
1113,719,V,CSNorthridge,20,43,63,142.5,142,2000,74.5
1113,720,H,Purdue,55,34,89,19.5,22.5,-4000,7
1113,721,V,William&Mary,31,35,66,134,136,2250,73
1113,722,H,Connecticut,37,38,75,24,23.5,-4500,10.5
1113,723,V,YoungstownState,24,33,57,139,137,1150,73
1113,724,H,Xavier,48,35,83,17.5,16.5,-1800,4.5
1113,725,V,MiamiOhio,42,29,71,1.5,1.5,-125,70
1113,726,H,Towson,37,45,82,124.5,125,105,0
1113,727,V,ClevelandState,25,37,62,1,1,-120,3
1113,728,H,StBonaventure,43,29,72,140,134,100,70
1113,729,V,Dartmouth,23,35,58,NL,NL,1750,NL
1113,730,H,BostonCollege,45,44,89,24.5,24,-3500,9
1113,731,V,Valparaiso,38,40,78,119,1.5,-120,2
1113,732,H,BallState,42,46,88,1.5,120,100,68
